label,group,solver,oracle,seed,budget,iterations,initial,episodes_per_entry,final_exploitability,final_value,value_error,population,support,entropy,cycles,cyclic_fraction,dominated,diversity_mean,diversity_weighted,effective_policies,population_exploitability,value_upper,value_lower,unique_policies,unique_fraction,effective_diversity,dpp_cardinality,kuhn_alpha,kuhn_beta,kuhn_gamma,kuhn_residual0,kuhn_xi,kuhn_eta,kuhn_residual1,exploitability_rises,largest_rise,total_eval_episodes,total_oracle_episodes,wall_seconds,vs_population_mean,vs_population_worst,vs_population_spread,vs_baselines_mean,vs_baselines_worst,vs_baselines_spread,vs_unseen_mean,vs_unseen_worst,vs_unseen_spread,vs_nash_mean,vs_nash_worst,vs_nash_spread,vs_perturbed_mean,vs_perturbed_worst,vs_perturbed_spread,vs_early_mean,vs_early_worst,vs_early_spread,vs_final_selfplay_mean,vs_final_selfplay_worst,vs_final_selfplay_spread
q10000_s0,q_learning_10000,nash,q_learning,0,10000,12,random,2000,0.0580224439683186,-0.057473826683561484,0.0019182711280059314,13,7,1.7357251258522672,26,0.09090909090909091,0,0.2631510768086582,0.2568918114051072,5.673039980652842,-2.7755575615628914e-17,-0.05555555555555558,-0.05555555555555555,10,0.7692307692307693,0.07984841596345492,1.9851791488224042,0.2903629491882842,0.4752439792980514,0.6436986921969948,0.14845230322356612,0.3481458128434575,0.3697509111859884,0.0512300573627793,2,0.02217907877938803,338000,240000,11.39705035299994,-0.02547881642050799,-0.06871186424627085,0.05762827565958805,0.05280488658867238,-0.030813505018294537,0.06497267889296984,0.12695187859863274,0.07677576020303216,0.041357165506027846,-0.055555555555555546,-0.055555555555555546,0.0,-0.0036611543029600687,-0.03723988452522772,0.03021931543756251,0.03232661511531264,-0.04565610532957675,0.07225196025210093,0.07146900792902695,0.07146900792902695,0.0
q10000_s1,q_learning_10000,nash,q_learning,1,10000,12,random,2000,0.023908182942325426,-0.0558082527977995,0.00025269724224395024,13,6,1.6485201211518796,28,0.0979020979020979,0,0.21769619059225206,0.19120860975191245,5.199279826810131,-2.7755575615628914e-17,-0.055555555555555594,-0.055555555555555566,8,0.6153846153846154,0.03977805663801051,1.9915745555043358,0.10467077232709131,0.37414822735341013,0.2153469094111141,0.0638558783070145,0.3396749212970162,0.3427290864095742,0.015737341039923802,3,0.062072725514251886,338000,240000,11.884023620001244,-0.024299092662473203,-0.06135714376607979,0.04586628989458469,0.041572025261490016,-0.04491290917105316,0.06129081660286811,0.0908301629807713,0.04238415603572333,0.027085674348167704,-0.05555555555555554,-0.05555555555555554,0.0,-0.017203917607680006,-0.042019683338658284,0.02233304974563278,0.02496211751769891,-0.06135714376607979,0.053160705628336864,0.046642541459793505,0.046642541459793505,0.0
q10000_s2,q_learning_10000,nash,q_learning,2,10000,12,random,2000,0.0397336787904522,-0.05345539813871798,0.0021001574168375697,13,5,1.3654919490906616,16,0.055944055944055944,0,0.23420258854039025,0.20718006448566612,3.917649862294861,6.938893903907228e-18,-0.055555555555555566,-0.05555555555555557,9,0.6923076923076923,0.0309018450030763,2.0402359239887575,0.08409353415193827,0.4031247935480916,0.33724036394939033,0.07094191493289702,0.366895604547156,0.3807760784748684,0.08100501635535773,3,0.034318455127667374,338000,240000,12.505493698999999,-0.029165561662285344,-0.07357056526995635,0.05028386092753987,0.04823486594386095,-0.05598237035664412,0.07430108954784444,0.09430916902746847,0.05585567849686979,0.026364723613869004,-0.05712511524477173,-0.05712511524477173,0.0,-0.015801701474187083,-0.04254038097280068,0.02406358384620066,0.03380181348790938,-0.041822410107714855,0.04755180851957184,0.0273340014536975,0.0273340014536975,0.0
q10000_s3,q_learning_10000,nash,q_learning,3,10000,12,random,2000,0.0609339070822771,-0.05576022498274997,0.00020466942719441633,13,6,1.364154361139038,24,0.08391608391608392,0,0.22131785092564188,0.15692146257421577,3.912413164093352,1.3877787807814457e-17,-0.05555555555555555,-0.055555555555555566,9,0.6923076923076923,0.012525395104656724,1.9546023763162477,0.05274836647043899,0.3202141708689671,0.03163831836768027,0.06586752893480521,0.4047475399264741,0.30298667618740976,0.10176086373906434,4,0.033209123929044806,338000,240000,13.035504203999153,-0.017742926192406968,-0.06567876424036083,0.05189079291758188,0.03557935231877412,-0.04457763406642138,0.05774101527331564,0.07880662096635963,0.023282052555452588,0.027900149239982002,-0.055555555555555525,-0.055555555555555525,0.0,-0.02220269499600951,-0.043783957711009874,0.019422145542984732,0.029037528343946097,-0.06567876424036083,0.05727518439652668,0.0493062643538817,0.0493062643538817,0.0
q10000_s4,q_learning_10000,nash,q_learning,4,10000,12,random,2000,0.04121994803675399,-0.05471807238915988,0.000837483166395675,13,6,1.6247774972811704,38,0.13286713286713286,0,0.22664391502856085,0.19630949682032076,5.077289200837443,2.7755575615628914e-17,-0.055555555555555566,-0.055555555555555594,9,0.6923076923076923,0.03627812918399412,2.033530835366835,0.11925628426565987,0.3568943621312223,0.22650890158733578,0.09569525546777091,0.352457426732067,0.3670452276069021,0.052835987672302465,3,0.04516109619329768,338000,240000,12.411161191999781,-0.020135888950335988,-0.06557731550987192,0.041053573610292486,0.03965492912569136,-0.03960634631092708,0.05604621693169471,0.09025578030464992,0.04237047628362859,0.027521609884351896,-0.05555555555555554,-0.05555555555555554,0.0,-0.017329923179406473,-0.042064155893385274,0.02225967377390978,0.019766736044390314,-0.06148300484586773,0.05153480180338983,0.05466531628987658,0.05466531628987658,0.0
q50000_s0,q_learning_50000,nash,q_learning,0,50000,12,random,2000,0.01930795921478301,-0.055766886610258665,0.0002113310547031122,13,5,1.4758869488942166,32,0.11188811188811189,0,0.23059696747895736,0.23018413796463705,4.374914378083147,-6.938893903907228e-18,-0.05555555555555558,-0.05555555555555557,9,0.6923076923076923,0.07244837268117368,2.0294002632863646,0.24546286217114413,0.5447179226082786,0.6830918522551217,0.03407827289619886,0.3571789380814837,0.33522891119881143,0.02574118261362851,2,0.00280621612088211,338000,1200000,58.94841791900035,-0.024839234024569726,-0.06691497985428849,0.056088356015257704,0.060524213623142066,-0.049875843406189106,0.0791464969436786,0.1286975770893849,0.07835317790161865,0.03968596503240226,-0.05555555555555554,-0.05555555555555554,0.0,-0.002500722200230949,-0.03683032025367627,0.030895062009635953,0.04205179215938548,-0.014096955230142115,0.060705256211704535,0.03789888444867011,0.03789888444867011,0.0
q50000_s1,q_learning_50000,nash,q_learning,1,50000,12,random,2000,0.019844469626683736,-0.05528975175481373,0.00026580380074182203,13,5,1.4062627299034334,34,0.11888111888111888,0,0.239724380253815,0.20663695168847868,4.080676281310828,-1.3877787807814457e-17,-0.05555555555555557,-0.05555555555555556,10,0.7692307692307693,0.03885648474850871,2.0868564045492026,0.10152694878001596,0.42629014852866426,0.35807065818053,0.044230008145006466,0.31155129781320834,0.3308969994783333,0.024218369375125004,2,0.06718721771602029,338000,1200000,60.25585733299886,-0.025308427959255704,-0.06732723539053094,0.045127833111163154,0.04736557205874047,-0.05412719995810807,0.07224244461261162,0.09365558541372906,0.057181764498790366,0.025976005051578367,-0.05555555555555554,-0.05555555555555554,0.0,-0.01489011855301601,-0.04120304837818864,0.02368042868833767,0.03310216597556227,-0.00968805227397233,0.03820968613605913,0.024748649055185083,0.024748649055185083,0.0
q50000_s2,q_learning_50000,nash,q_learning,2,50000,12,random,2000,0.02154283573280981,-0.05540034559366139,0.00015520996189416492,13,5,1.1234418472600196,24,0.08391608391608392,0,0.23728947734839706,0.25537542417882786,3.0754211377906406,-1.3877787807814457e-17,-0.055555555555555566,-0.05555555555555555,7,0.5384615384615384,0.06123562384987412,2.047930768574376,0.12327664448569542,0.43655516567338004,0.41252480957087256,0.0485180628881729,0.34566658757127217,0.332155571846796,0.01351101572447616,2,0.03919066891981815,338000,1200000,61.32540927900118,-0.029616049018693597,-0.06935630562306953,0.04841097580763287,0.048506129519264446,-0.05221308686461413,0.07136380436630071,0.09745781868874857,0.05937537465312484,0.027123128322948026,-0.05555555555555554,-0.05555555555555554,0.0,-0.013378312668414013,-0.04066946983068206,0.02456078837655868,0.02888676144131929,-0.04509727417898308,0.049186267026144356,0.02756234012590368,0.02756234012590368,0.0
q50000_s3,q_learning_50000,nash,q_learning,3,50000,12,random,2000,0.036763721531098,-0.05513200258242786,0.0004235529731276902,13,6,1.589566000602869,35,0.12237762237762238,0,0.24072892080823763,0.16498024641361514,4.901621166005224,-1.3877787807814457e-17,-0.055555555555555594,-0.05555555555555558,11,0.8461538461538461,0.01998341365307035,2.0833755610201687,0.08013237410906658,0.3881998759271182,0.1940557133210314,0.02526583151528171,0.33474969585054504,0.2775940196261329,0.057155676224412144,4,0.04053682117471103,338000,1200000,60.14169447400127,-0.024991329633725787,-0.0590681518040367,0.04941413593214947,0.04313331954745758,-0.05134458363634197,0.06755867362455989,0.08935807045253186,0.0412114519688563,0.026339388522667605,-0.05555555555555554,-0.05555555555555554,0.0,-0.017699125229772746,-0.04219446249939691,0.022044678842839935,0.031830739884834244,-0.0590681518040367,0.054591023505309914,0.035850533780838745,0.035850533780838745,0.0
q50000_s4,q_learning_50000,nash,q_learning,4,50000,12,random,2000,0.043125987222311986,-0.05547714779531978,7.840776023577273e-05,13,4,1.1762879575345242,25,0.08741258741258741,0,0.2289156184009368,0.2596261365375597,3.242316221365563,-2.0816681711721685e-17,-0.05555555555555558,-0.05555555555555556,9,0.6923076923076923,0.07067345416974541,1.9925049267016042,0.17634567337346355,0.4148248459205125,0.40882948070602393,0.09485416078628439,0.34272514155327666,0.3165786715595278,0.026146469993748866,4,0.03518524441895762,338000,1200000,59.54212632700364,-0.026116180958990803,-0.06713901924858925,0.045126841860162706,0.046091649546723616,-0.039746528757841515,0.06119221571459407,0.1039880102222487,0.061713435339096685,0.030519582466045508,-0.05555555555555553,-0.05555555555555553,0.0,-0.011898429181488151,-0.04014715801176704,0.02542255891100561,0.0282656417849944,-0.025212381500193237,0.04495205518825064,0.05360409952668904,0.05360409952668904,0.0
exact_s0,exact_oracle,nash,exact,0,0,12,random,2000,0.012181770241574262,-0.05563623934383793,8.068378828237494e-05,13,6,1.3737929200239545,48,0.16783216783216784,0,0.25142984640350724,0.2742137006520979,3.950305509202208,-6.938893903907228e-18,-0.05555555555555556,-0.05555555555555555,9,0.6923076923076923,0.07770128042531288,2.177833649682677,0.18684193618498374,0.515368500783899,0.5989401981297472,0.030416361784282087,0.33932706746504077,0.3289749246192005,0.01035214284584024,3,0.0273405349845652,338000,0,0.2883935650006606,-0.023221303521201647,-0.06356021006282762,0.0543147050119286,0.057263166753766546,-0.05475442743315255,0.07926797186241638,0.11579627562457435,0.06997612938342,0.03452003139871167,-0.05555555555555554,-0.05555555555555554,0.0,-0.006654877513506452,-0.03829649271718527,0.02847600086318482,0.05073245573969923,0.009685488511347175,0.04000139360606385,0.12023627195938012,0.12023627195938012,0.0
exact_s1,exact_oracle,nash,exact,1,0,12,random,2000,0.010205034805757733,-0.0555786164165867,2.3060861031147517e-05,13,4,1.2113955949612458,31,0.10839160839160839,0,0.25431568739277205,0.2845083488748838,3.3581680261188693,2.0816681711721685e-17,-0.05555555555555556,-0.05555555555555558,9,0.6923076923076923,0.07127657668666286,2.2043969098226874,0.23965808831688926,0.6102205305349487,0.7603419116831108,0.037229108884726164,0.3259423014376012,0.3425523694916894,0.016610068054088156,1,0.00639532132316134,338000,0,0.2865587959986442,-0.019742318597605314,-0.06176040703634326,0.061218646656031925,0.06780228117054986,-0.06176040703634326,0.09191301024489783,0.135755245300428,0.08296282383015688,0.04343100845904734,-0.05555555555555555,-0.05555555555555555,0.0,0.0003183421865219892,-0.03583535635246936,0.03253666869332085,0.06083746455778277,-0.0032028378744986506,0.05204544230950107,0.08173191439608404,0.08173191439608404,0.0
exact_s2,exact_oracle,nash,exact,2,0,12,random,2000,0.012483128986475918,-0.05547697093679747,7.85846187580791e-05,13,5,1.5015635641757548,31,0.10839160839160839,0,0.2543156873927721,0.22774825661458858,4.48870195993807,0.0,-0.05555555555555558,-0.05555555555555558,9,0.6923076923076923,0.06893465280280404,2.1252302996052137,0.19956911662025964,0.5439239191783675,0.6480024819275062,0.02184195215304363,0.3105401418967043,0.33539353076175255,0.02485338886504823,2,0.030091925631588412,338000,0,0.4906712849988253,-0.021540020464592306,-0.06009758782508528,0.05562450758985358,0.06043599101981859,-0.05739246709301801,0.08340064344754038,0.12118519358995174,0.07337327352327949,0.0369940885585634,-0.055555555555555546,-0.055555555555555546,0.0,-0.004705421457657409,-0.0376084494033562,0.02961121441342156,0.05364237312404144,0.006784520531451607,0.043036401966072745,0.12802343363866514,0.12802343363866514,0.0
exact_s3,exact_oracle,nash,exact,3,0,12,random,2000,0.023104579977712467,-0.05442903656945646,0.0011265189860990912,13,5,1.421696567225692,62,0.21678321678321677,0,0.2571393237319155,0.2590854858762079,4.144145300587975,6.938893903907228e-18,-0.05555555555555556,-0.055555555555555566,8,0.6153846153846154,0.0772086777077003,2.2326582186274373,0.19688482360743106,0.5897075457004148,0.6624055802170251,0.05948938875965046,0.36424535379661394,0.3815594039766772,0.07913809110662451,4,0.03886622383416874,338000,0,0.4977888459998212,-0.017160446946520132,-0.06547045368216398,0.05584738924345244,0.06552306063337944,-0.06547045368216398,0.09262642467247244,0.1278763455029328,0.07921922618137106,0.039984448730829666,-0.05555555555555555,-0.05555555555555555,0.0,-0.0026701751530554124,-0.03689012717820256,0.030796385618548923,0.05734582979201086,0.020539977328157058,0.0434348107334362,0.08187752231611657,0.08187752231611657,0.0
exact_s4,exact_oracle,nash,exact,4,0,12,random,2000,0.0060196669516475385,-0.05559271247142104,3.715691586548414e-05,13,6,1.6669165106673418,38,0.13286713286713286,0,0.26419625376499195,0.2268343194041089,5.29581301230593,1.3877787807814457e-17,-0.05555555555555556,-0.05555555555555557,9,0.6923076923076923,0.08460454902194964,2.1833705686977947,0.1613795997838635,0.509359410010201,0.5286451090801263,0.015024396259353007,0.3279586786657057,0.32825566511728205,0.010452322883678866,2,0.0016718683631294154,338000,0,0.5189919580006972,-0.02219088411203415,-0.05809111487931014,0.05177053672510382,0.05659549000113343,-0.05799663503772295,0.08104703801855308,0.11260901464018344,0.0694455329366328,0.03298950694424962,-0.055555555555555525,-0.055555555555555525,0.0,-0.008141028241206197,-0.03882101650343224,0.027610580768837444,0.04917076749184439,0.022693164854208796,0.036386731873317854,0.07144493501971155,0.07144493501971155,0.0
